指标,地区,时间,数值
中央补助收入（万元）,北京,1995,933457.00000
中央补助收入（万元）,北京,1996,892284.00000
中央补助收入（万元）,北京,1997,949370.00000
中央补助收入（万元）,北京,1998,1067166.00000
中央补助收入（万元）,北京,1999,1317724.00000
中央补助收入（万元）,北京,2000,1141242.00000
中央补助收入（万元）,北京,2001,1598148.00000
中央补助收入（万元）,北京,2002,1505396.00000
中央补助收入（万元）,北京,2003,1846846.00000
中央补助收入（万元）,北京,2004,2024426.00000
中央补助收入（万元）,北京,2005,1977709.00000
中央补助收入（万元）,北京,2006,2293741.00000
中央补助收入（万元）,北京,2007,2489424.00000
中央补助收入（万元）,北京,2008,2755226.00000
中央补助收入（万元）,北京,2009,3677202.00000
中央补助收入（万元）,北京,2010,4855300.00000
中央补助收入（万元）,北京,2011,5059900.00000
中央补助收入（万元）,北京,2012,5684100.00000
中央补助收入（万元）,北京,2013,5265500.00000
中央补助收入（万元）,北京,2014,5338100.00000
中央补助收入（万元）,北京,2015,5267400.00000
中央补助收入（万元）,北京,2016,7386000.00000
中央补助收入（万元）,北京,2017,9202800.00000
中央补助收入（万元）,北京,2018,9202800.00000
中央补助收入（万元）,北京,2019,11316100.00000
中央补助收入（万元）,北京,2020,11441800.00000
中央补助收入（万元）,北京,2021,11445400.00000
中央补助收入（万元）,北京,2022,
中央补助收入（万元）,北京,2023,
中央补助收入（万元）,北京,2024,
中央补助收入（万元）,天津,1995,625569.00000
中央补助收入（万元）,天津,1996,591645.00000
中央补助收入（万元）,天津,1997,611269.00000
中央补助收入（万元）,天津,1998,647328.00000
中央补助收入（万元）,天津,1999,709065.00000
中央补助收入（万元）,天津,2000,846859.00000
中央补助收入（万元）,天津,2001,993739.00000
中央补助收入（万元）,天津,2002,1160865.00000
中央补助收入（万元）,天津,2003,1299459.00000
中央补助收入（万元）,天津,2004,1531634.00000
中央补助收入（万元）,天津,2005,1578640.00000
中央补助收入（万元）,天津,2006,1812232.00000
中央补助收入（万元）,天津,2007,2031835.00000
中央补助收入（万元）,天津,2008,2324473.00000
中央补助收入（万元）,天津,2009,2816344.00000
中央补助收入（万元）,天津,2010,3414200.00000
中央补助收入（万元）,天津,2011,4232200.00000
中央补助收入（万元）,天津,2012,4182400.00000
中央补助收入（万元）,天津,2013,4252000.00000
中央补助收入（万元）,天津,2014,4428300.00000
中央补助收入（万元）,天津,2015,4749900.00000
中央补助收入（万元）,天津,2016,5361400.00000
中央补助收入（万元）,天津,2017,5924800.00000
中央补助收入（万元）,天津,2018,6037500.00000
中央补助收入（万元）,天津,2019,6698400.00000
中央补助收入（万元）,天津,2020,7413800.00000
中央补助收入（万元）,天津,2021,7027000.00000
中央补助收入（万元）,天津,2022,
中央补助收入（万元）,天津,2023,
中央补助收入（万元）,天津,2024,9663500.00000
中央补助收入（万元）,河北省,1995,938405.00000
中央补助收入（万元）,河北省,1996,1007937.00000
中央补助收入（万元）,河北省,1997,1034733.00000
中央补助收入（万元）,河北省,1998,1163206.00000
中央补助收入（万元）,河北省,1999,1510515.00000
中央补助收入（万元）,河北省,2000,1818651.00000
中央补助收入（万元）,河北省,2001,2390166.00000
中央补助收入（万元）,河北省,2002,3025320.00000
中央补助收入（万元）,河北省,2003,3426646.00000
中央补助收入（万元）,河北省,2004,4231380.00000
中央补助收入（万元）,河北省,2005,4804741.00000
中央补助收入（万元）,河北省,2006,6140848.00000
中央补助收入（万元）,河北省,2007,7799024.00000
中央补助收入（万元）,河北省,2008,9526704.00000
中央补助收入（万元）,河北省,2009,12630234.00000
中央补助收入（万元）,河北省,2010,14083100.00000
中央补助收入（万元）,河北省,2011,18334800.00000
中央补助收入（万元）,河北省,2012,20588500.00000
中央补助收入（万元）,河北省,2013,21177800.00000
中央补助收入（万元）,河北省,2014,23004300.00000
中央补助收入（万元）,河北省,2015,24884200.00000
中央补助收入（万元）,河北省,2016,27050900.00000
中央补助收入（万元）,河北省,2017,28939200.00000
中央补助收入（万元）,河北省,2018,31997500.00000
中央补助收入（万元）,河北省,2019,34624800.00000
中央补助收入（万元）,河北省,2020,40607900.00000
中央补助收入（万元）,河北省,2021,39342800.00000
中央补助收入（万元）,河北省,2022,44651700.00000
中央补助收入（万元）,河北省,2023,52326800.00000
中央补助收入（万元）,河北省,2024,49573100.00000
中央补助收入（万元）,山西省,1995,508574.00000
中央补助收入（万元）,山西省,1996,535151.00000
中央补助收入（万元）,山西省,1997,550466.00000
中央补助收入（万元）,山西省,1998,633465.00000
中央补助收入（万元）,山西省,1999,868354.00000
中央补助收入（万元）,山西省,2000,1137490.00000
中央补助收入（万元）,山西省,2001,1617791.00000
中央补助收入（万元）,山西省,2002,1946293.00000
中央补助收入（万元）,山西省,2003,2237869.00000
中央补助收入（万元）,山西省,2004,2907357.00000
